Language,Family,ISO 639-3,Reference,Nucleus,Diphthongs,Relevant spelling conventions,Affixes,Allomorphs,Type,Syllables,Segments,,,,
,,,,,,,r-,1,P,0,1,,,,
,,,,,,,s-,1,P,0,1,,,,
,,,,,,,sh-,1,P,0,1,,,,
,,,,,,,sh-,1,P,0,1,,,,
,,,,,,, -sh,1,S,0,1,,,,
,,,,,,,t-,1,P,0,1,,,,
,,,,,,,t-,1,P,0,1,,,,
,,,,,,,t-,1,P,0,1,,,,
,,,,,,,uu-,1,P,1,1,,,,
,,,,,,,uu-,1,P,1,1,,,,
,,,,,,,uu-,1,P,1,1,,,,
,,,,,,,w-,1,P,0,1,,,,
,,,,,,, -wach,1,S,1,3,,,,
,,,,,,, -we,1,S,1,2,,,,
,,,,,,,x-,1,P,0,1,,,,
,,,,,,, -x,1,S,0,1,,,,
,,,,,,, -y,1,S,0,1,,,,
,,,,,,,ya-,1,P,1,2,,,,
,,,,,,, -ya,1,S,1,2,,,,
,,,,,,, '-,1,P,0,1,,,,
,,,,,,, '-,1,P,0,1,,,,
,,,,,,,"ii-, ii'-",2,P,1,1.5,,,,
,,,,,,,"ii-, ii'-",2,P,1,1.5,,,,
Garrwa,Garrwan,wrk,Mushin (2012: 469-470),V (23),none mentioned,"rr, ny, ly, ng = monosegmental",,,,,,,,,
,,,,,,, -ba,1,S,1,2,,,,
,,,,,,, -ba,1,S,1,2,,,,
,,,,,,, -(i)na,2,S,1.5,2.5,,,,
,,,,,,, -j,1,S,0,1,,,,
,,,,,,, -ji,1,S,1,2,,,,
,,,,,,, -jina,1,S,2,4,,,,
,,,,,,, -jiwa,1,S,2,4,,,,
,,,,,,, -ka,1,S,1,2,,,,
,,,,,,, -kanyi,1,S,2,4,,,,
,,,,,,, -kunu,1,S,2,4,,,,
,,,,,,, -kurri,1,S,2,4,,,,
,,,,,,, -(li)ji,2,S,1.5,3,,,,
,,,,,,, -(li)nya,2,S,1.5,4,,,,
,,,,,,, -m,1,S,0,1,,,,
,,,,,,, -ma,1,S,1,2,,,,
,,,,,,," -mba, -mbi",2,S,1,3,,,,
,,,,,,, -mirra,1,S,2,4,,,,
,,,,,,, -muku,1,S,2,4,,,,
,,,,,,, -munanyi,1,S,3,6,,,,
,,,,,,, -muwa,1,S,2,4,,,,
,,,,,,, -n,1,S,0,1,,,,
,,,,,,, -na,1,S,1,2,,,,
,,,,,,, -nanyi,1,S,2,4,,,,
,,,,,,, -nbana,1,S,2,5,,,,
,,,,,,," -nbu, -ndu",2,S,1,3,,,,
,,,,,,, -nbunanyi,1,S,3,7,,,,
,,,,,,, -(n)da,2,S,1,2.5,,,,
,,,,,,, -nganja,1,S,2,5,,,,
,,,,,,, -ngi,1,S,1,2,,,,
,,,,,,, -(ngi)ni,2,S,2,3,,,,
,,,,,,, -ngka,1,S,1,3,,,,
,,,,,,, -ngu,1,S,1,2,,,,
,,,,,,, -ni,1,S,1,2,,,,
,,,,,,, -(n)(ka)nyi,3,S,1.5,3.7,,,,
,,,,,,, -(n)(ku)rri,3,S,1.5,3.7,,,,
,,,,,,, -nya,1,S,1,2,,,,
,,,,,,, -nya,1,S,1,2,,,,
,,,,,,, -nyi,1,S,1,2,,,,
,,,,,,, -nyi,1,S,1,2,,,,
,,,,,,, -nyina,1,S,2,4,,,,
,,,,,,," -rra, -rri",2,S,1,2,,,,
,,,,,,, -rri,1,S,1,2,,,,
,,,,,,, -rrij,1,S,1,3,,,,
,,,,,,, -wa ,1,S,1,2,,,,
,,,,,,, -wanyi,1,S,2,4,,,,
,,,,,,, -warr,1,S,1,3,,,,
,,,,,,, -wunyi,1,S,2,4,,,,
,,,,,,, -wuya,1,S,2,4,,,,
,,,,,,, -ya,1,S,1,2,,,,
,,,,,,, -yangka,1,S,2,5,,,,
,,,,,,, -yudi,1,S,2,4,,,,
,,,,,,, -(yu)rru,2,S,1.5,3,,,,
Toba,Guaicuruan,tob,Klein (1973: 271-276),"V (29, 31)",none mentioned,all single symbols seem to refer to a single segment (33),,,,,,,,,
,,,,,,, -a,1,S,1,1,,,,
,,,,,,, -aga,1,S,2,3,,,,
,,,,,,, -ayke,1,S,2,4,,,,
,,,,,,, -a'a,1,S,2,3,,,,
,,,,,,, -ega,1,S,2,3,,,,
,,,,,,, -get,1,S,1,3,,,,
,,,,,,,haka-,1,P,2,4,,,,
,,,,,,,haji-,1,P,2,4,,,,
,,,,,,,hana-,1,P,2,4,,,,
,,,,,,,hañi-,1,P,2,4,,,,
,,,,,,,hara-,1,P,2,4,,,,
,,,,,,,haso-,1,P,2,4,,,,
,,,,,,,hi-,1,P,1,2,,,,
,,,,,,, -igi,1,S,2,3,,,,
,,,,,,, -ište,1,S,2,4,,,,
,,,,,,,ja- -q,1,O,1,3,,,,
,,,,,,,ji-,1,P,1,2,,,,
,,,,,,, -ji,1,S,1,2,,,,
,,,,,,,ka-,1,P,1,2,,,,
,,,,,,, -ki,1,S,1,2,,,,
,,,,,,, -ki,1,S,1,2,,,,
,,,,,,,l-,1,P,0,1,,,,
,,,,,,,l-,1,P,0,1,,,,
,,,,,,, -l ,1,S,0,1,,,,
,,,,,,,l…'-,1,O,0,2,,,,
,,,,,,, -le,1,S,1,2,,,,
,,,,,,, -lek,1,S,1,3,,,,
,,,,,,, -lek,1,S,1,3,,,,
,,,,,,, -lo,1,S,1,2,,,,
,,,,,,,n-,1,P,0,1,,,,
,,,,,,,n-,1,P,0,1,,,,
,,,,,,,n-,1,P,0,1,,,,
,,,,,,, -n,1,S,0,1,,,,
,,,,,,,n…'-,1,O,0,2,,,,
,,,,,,,n…'-,1,O,0,2,,,,
,,,,,,,na-,1,P,1,2,,,,
,,,,,,,na-,1,P,1,2,,,,
,,,,,,, -na,1,S,1,2,,,,
,,,,,,,na…'-,1,P,1,2,,,,
,,,,,,,ña-,1,P,1,2,,,,
,,,,,,,ña-,1,P,1,2,,,,
,,,,,,,ña…q-,1,O,1,3,,,,
,,,,,,,ñi-,1,P,1,2,,,,
,,,,,,, -ñi,1,S,1,2,,,,
,,,,,,, -o',1,S,1,1,,,,
,,,,,,, -pe,1,S,1,2,,,,
,,,,,,, -q,1,S,0,1,,,,
,,,,,,,qan-,1,P,1,3,,,,
,,,,,,,qan…i-,1,O,2,4,,,,
,,,,,,,qan…i-,1,O,2,4,,,,
,,,,,,,qar-,1,P,1,3,,,,
,,,,,,,qar…i-,1,O,2,4,,,,
,,,,,,,qar…i-,1,O,2,4,,,,
,,,,,,,qaw…i-,1,O,2,4,,,,
,,,,,,,r-,1,P,0,1,,,,
,,,,,,,r…'-,1,O,0,2,,,,
,,,,,,,ra-,1,P,1,2,,,,
,,,,,,, -ro,1,S,1,2,,,,
,,,,,,,s-,1,P,0,1,,,,
,,,,,,,s…q-,1,O,0,2,,,,
,,,,,,,so-,1,P,1,2,,,,
,,,,,,, -ši,1,S,1,2,,,,
,,,,,,, -šigem,1,S,2,5,,,,
,,,,,,, -šik,1,S,1,3,,,,
,,,,,,, -tak,1,S,1,3,,,,
,,,,,,, -te,1,S,1,2,,,,
,,,,,,, -te,1,S,1,2,,,,
,,,,,,, -to,1,S,1,2,,,,
,,,,,,, -wa,1,S,1,2,,,,
,,,,,,, -wek,1,S,1,3,,,,
,,,,,,, -wo,1,S,1,2,,,,
,,,,,,, -',1,S,0,1,,,,
,,,,,,, 'an-,1,P,1,3,,,,
,,,,,,, 'an-,1,P,1,3,,,,
,,,,,,, 'ar-,1,P,1,3,,,,
,,,,,,, 'ar-,1,P,1,3,,,,
,,,,,,, 'aw-,1,P,1,3,,,,
,,,,,,, -'o,1,S,1,2,,,,
,,,,,,, -'oga,1,S,2,4,,,,
,,,,,,, -'ole,1,S,2,4,,,,
,,,,,,, -'olek,1,S,2,4,,,,
Yele,Isolate,yle,Levinson (2022: 80),irrelevant,irrelevant,irrelevant,,,,,,,,,
,,,,,,, -ni,1,S,1,2,,,,
,,,,,,, -pi,1,S,1,2,,,,
Lavukaleve,Isolate,lvk,Terrill (2003: 533-535),V (28),none (26),ng = monosegmental,,,,,,,,,
,,,,,,,a-,1,P,1,1,,,,
,,,,,,,a-,1,P,1,1,,,,
,,,,,,, -a,1,S,1,1,,,,
,,,,,,, -a,1,S,1,1,,,,
,,,,,,, -al,1,S,1,2,,,,
,,,,,,, -aol,1,S,2,3,,,,
,,,,,,, -aol,1,S,2,3,,,,
,,,,,,, -aul ,1,S,2,3,,,,
,,,,,,, -ba,1,S,1,2,,,,
,,,,,,,e-,1,P,1,1,,,,
,,,,,,,e-,1,P,1,1,,,,
,,,,,,,e-,1,P,1,1,,,,
,,,,,,, -e,1,S,1,1,,,,
,,,,,,, -e,1,S,1,1,,,,
,,,,,,, -ev ,1,S,1,2,,,,
,,,,,,, -ge ,1,S,1,2,,,,
,,,,,,, -gel,1,S,1,3,,,,
,,,,,,, -ha,1,S,1,2,,,,
,,,,,,, -ham,1,S,1,3,,,,
,,,,,,, -i,1,S,1,1,,,,
,,,,,,, -i,1,S,1,1,,,,
,,,,,,, -ila,1,S,2,3,,,,
,,,,,,, -io,1,S,2,2,,,,
,,,,,,, -iva,1,S,2,3,,,,
,,,,,,, -kal,1,S,1,3,,,,
,,,,,,, -l,1,S,0,1,,,,
,,,,,,, -l,1,S,0,1,,,,
,,,,,,,la-,1,P,1,2,,,,
,,,,,,,la-,1,P,1,2,,,,
,,,,,,, -la,1,S,1,2,,,,
,,,,,,, -la,1,S,1,2,,,,
,,,,,,,le-,1,P,1,2,,,,
,,,,,,,le-,1,P,1,2,,,,
,,,,,,,le-,1,P,1,2,,,,
,,,,,,, -le,1,S,1,2,,,,
,,,,,,,lo-,1,P,1,2,,,,
,,,,,,,lo-,1,P,1,2,,,,
,,,,,,,lo-,1,P,1,2,,,,
,,,,,,, -m,1,S,0,1,,,,
,,,,,,,ma-,1,P,1,2,,,,
,,,,,,, -ma,1,S,1,2,,,,
,,,,,,, -mal,1,S,1,3,,,,
,,,,,,, -mal,1,S,1,3,,,,
,,,,,,,me-,1,P,1,2,,,,
,,,,,,, -me,1,S,1,2,,,,
,,,,,,, -mela,1,S,2,4,,,,
,,,,,,,mele-,1,P,2,4,,,,
,,,,,,, -meon,1,S,2,4,,,,
,,,,,,, -mil,1,S,1,3,,,,
,,,,,,, -n,1,S,0,1,,,,
,,,,,,, -n,1,S,0,1,,,,
,,,,,,, -n,1,S,0,1,,,,
,,,,,,, -na,1,S,1,2,,,,
,,,,,,,ne-,1,P,1,2,,,,
,,,,,,, -ne,1,S,1,2,,,,
,,,,,,, -ne,1,S,1,2,,,,
,,,,,,, -nen,1,S,1,3,,,,
,,,,,,,nga-,1,P,1,2,,,,
,,,,,,,ngo-,1,P,1,2,,,,
,,,,,,, -no,1,S,1,2,,,,
,,,,,,, -nol,1,S,1,3,,,,
,,,,,,, -nov,1,S,1,3,,,,
,,,,,,, -nu,1,S,1,2,,,,
,,,,,,, -nul,1,S,1,3,,,,
,,,,,,, -nun,1,S,1,3,,,,
,,,,,,, -nuv,1,S,1,3,,,,
,,,,,,,o-,1,P,1,1,,,,
,,,,,,,o-,1,P,1,1,,,,
,,,,,,, -o,1,S,1,1,,,,
,,,,,,, -ol,1,S,1,2,,,,
,,,,,,, -om,1,S,1,2,,,,
,,,,,,, -ov,1,S,1,2,,,,
,,,,,,, -re,1,S,1,2,,,,
,,,,,,, -re,1,S,1,2,,,,
,,,,,,, -ri,1,S,1,2,,,,
,,,,,,, -ri,1,S,1,2,,,,
,,,,,,, -ria,1,S,1,3,,,,
,,,,,,, -ril,1,S,1,3,,,,
,,,,,,, -ru,1,S,1,2,,,,
,,,,,,, -sa,1,S,1,2,,,,
,,,,,,, -v,1,S,0,1,,,,
,,,,,,, -va,1,S,1,2,,,,
,,,,,,, -vel,1,S,1,3,,,,
,,,,,,, -vele,1,S,2,4,,,,
,,,,,,, -verav,1,S,2,5,,,,
,,,,,,, -vil,1,S,1,3,,,,
,,,,,,,vo-,1,P,1,2,,,,
Savosavo,Isolate,svs,Wegener (2012: 359-386),V (22),/ai/ is debatable but mostly not (20-22),"gh, gn, ng = monosegmental",,1,,,,,,,
,,,,,,, -a,1,S,1,1,,,,
,,,,,,, -a,1,S,1,1,,,,
,,,,,,, -a,1,S,1,1,,,,
,,,,,,, -a,1,S,1,1,,,,
,,,,,,, -ale,1,S,2,3,,,,
,,,,,,, -ale,1,S,2,3,,,,
,,,,,,, -ata,1,S,2,3,,,,
,,,,,,, -atu,1,S,2,3,,,,
,,,,,,, -gha,1,S,1,2,,,,
,,,,,,, -gha,1,S,1,2,,,,
,,,,,,, -ghi,1,S,1,2,,,,
,,,,,,, -ghigni,1,S,2,4,,,,
,,,,,,, -ghu,1,S,1,2,,,,
,,,,,,,gn-,1,P,0,1,,,,
,,,,,,, -gni,1,S,1,2,,,,
,,,,,,, -i,1,S,1,1,,,,
,,,,,,, -i,1,S,1,1,,,,
,,,,,,,k-,1,P,0,1,,,,
,,,,,,,l-,1,P,0,1,,,,
,,,,,,, -le,1,S,1,2,,,,
,,,,,,, -li,1,S,1,2,,,,
,,,,,,, -lu,1,S,1,2,,,,
,,,,,,,m-,1,P,0,1,,,,
,,,,,,, -ma,1,S,1,2,,,,
,,,,,,, -mi,1,S,1,2,,,,
,,,,,,, -migni,1,S,2,4,,,,
,,,,,,, -mu,1,S,1,2,,,,
,,,,,,,n-,1,P,0,1,,,,
,,,,,,, -ni,1,S,1,2,,,,
,,,,,,, -nipiti,1,S,3,6,,,,
